# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Oct  3 16:09:55 2025
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN k2_name:        K2 ID
# COLUMN default_flag:   Default Parameter Set
# COLUMN disposition:    Archive Disposition
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN pl_trandep:     Transit Depth [%]
# COLUMN pl_trandeperr1: Transit Depth Upper Unc. [%]
# COLUMN pl_trandeperr2: Transit Depth Lower Unc. [%]
# COLUMN pl_trandeplim:  Transit Depth Limit Flag
# COLUMN pl_trandur:     Transit Duration [hours]
# COLUMN pl_trandurerr1: Transit Duration Upper Unc. [hours]
# COLUMN pl_trandurerr2: Transit Duration Lower Unc. [hours]
# COLUMN pl_trandurlim:  Transit Duration Limit Flag
# COLUMN pl_ratror:      Ratio of Planet to Stellar Radius
# COLUMN pl_ratrorerr1:  Ratio of Planet to Stellar Radius Upper Unc.
# COLUMN pl_ratrorerr2:  Ratio of Planet to Stellar Radius Lower Unc.
# COLUMN pl_ratrorlim:   Ratio of Planet to Stellar Radius Limit Flag
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_lumerr1:     Stellar Luminosity Upper Unc. [log(Solar)]
# COLUMN st_lumerr2:     Stellar Luminosity Lower Unc. [log(Solar)]
# COLUMN st_lumlim:      Stellar Luminosity Limit Flag
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN st_denserr1:    Stellar Density Upper Unc. [g/cm**3]
# COLUMN st_denserr2:    Stellar Density Lower Unc. [g/cm**3]
# COLUMN st_denslim:     Stellar Density Limit Flag
#
loc_rowid,pl_name,hostname,k2_name,default_flag,disposition,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_dens,st_denserr1,st_denserr2,st_denslim
1,BD+20 594 b,BD+20 594,K2-56 b,0,CONFIRMED,41.68864400000,0.00335300000,-0.00341900000,0,,,,,2.35545351,0.30999992,-0.16677291,0,,,,,,,,,,,,,,,,,0.02258600,0.00184700,-0.00094300,0,5703.00,50.00,-50.00,0,0.956122,0.098585,-0.054675,0,0.963861,0.029568,-0.032166,0,,,,,4.380000,0.100000,-0.100000,0,,,,
2,BD+20 594 b,BD+20 594,K2-56 b,0,CONFIRMED,41.68550000000,0.00300000000,-0.00310000000,0,0.2410000000,0.0190000000,-0.0170000000,0,2.23000000,0.14000000,-0.11000000,0,,,,,546.00,19.00,-18.00,0,,,,,,,,,0.02204000,0.00058000,-0.00057000,0,5766.00,99.00,-99.00,0,0.928000,0.055000,-0.040000,0,0.961000,0.032000,-0.029000,0,-0.05552,0.06835,-0.06367,0,4.500000,0.080000,-0.080000,0,1.700000,0.200000,-0.260000,0
3,BD+20 594 b,BD+20 594,K2-56 b,1,CONFIRMED,41.68550000000,0.00300000000,-0.00300000000,0,,,,,2.57807000,0.11209000,-0.11209000,0,,,,,,,,,0.04900000,0.00250000,-0.00250000,0,,,,,,,,,5766.00,99.00,-99.00,0,1.080000,0.060000,-0.060000,0,1.670000,0.400000,-0.400000,0,,,,,4.500000,0.080000,-0.080000,0,1.890000,0.340000,-0.340000,0
4,EPIC 201111557.01,EPIC 201111557,,1,CANDIDATE,2.30183000000,0.00028000000,-0.00030000000,0,,,,,1.12000000,0.11000000,-0.08000000,0,,,,,1054.00,55.00,-55.00,0,2.26800000,,,0,1.9008000,,,0,0.01440000,0.00140000,-0.00100000,0,4616.52,82.36,-115.56,0,0.762602,0.053651,-0.037585,0,0.730000,0.084105,-0.081044,0,-0.62345,0.01786,-0.01408,0,4.536790,0.075486,-0.090593,0,2.320574,0.535941,-0.565724,0
5,EPIC 201111557.01,EPIC 201111557,,0,CANDIDATE,2.30236800000,0.00010500000,-0.00010300000,0,,,,,1.31258765,0.52417700,-0.12081424,0,,,,,,,,,,,,,,,,,0.01692500,0.00674400,-0.00148000,0,4720.00,50.00,-50.00,0,0.710995,0.018609,-0.020398,0,,,,,,,,,4.500000,0.100000,-0.100000,0,,,,
6,EPIC 201126503.01,EPIC 201126503,,1,CANDIDATE,1.19474880000,,,0,,,,,4.19000000,,,0,,,,,,,,,0.44800000,,,0,1.9300000,,,0,0.06005000,,,0,3919.00,,,0,0.570000,,,0,,,,,,,,,,,,,,,,
7,EPIC 201127519.01,EPIC 201127519,,0,CANDIDATE,6.17836900000,0.00019500000,-0.00017200000,0,,,,,9.91257877,0.52940607,-0.36218238,0,,,,,,,,,,,,,,,,,0.11511100,0.00491600,-0.00336300,0,5015.00,50.00,-50.00,0,0.789478,0.025322,-0.017327,0,,,,,,,,,4.670000,0.100000,-0.100000,0,,,,
8,EPIC 201127519.01,EPIC 201127519,,1,CANDIDATE,6.17887000000,0.00007000000,-0.00007000000,0,,,,,8.84000000,0.14000000,-0.13000000,0,,,,,772.00,10.00,-10.00,0,1.30300000,,,0,2.5008000,,,0,0.10580000,0.00110000,-0.00070000,0,4719.28,100.72,-112.19,0,0.849432,0.053904,-0.052076,0,0.756000,0.096466,-0.080306,0,-0.49154,0.01540,-0.01826,0,4.458330,0.062492,-0.110798,0,1.739007,0.360404,-0.512802,0
9,EPIC 201147085.01,EPIC 201147085,,1,CANDIDATE,1.17589000000,0.00010000000,-0.00010000000,0,,,,,0.86000000,0.18000000,-0.26000000,0,,,,,,,,,0.06860000,0.00800000,-0.00850000,0,1.2480000,0.1440000,-0.1920000,0,0.02540000,0.00250000,-0.00520000,0,,,,,0.309000,0.057000,-0.070000,0,,,,,,,,,,,,,,,,
10,EPIC 201152065.01,EPIC 201152065,,1,CANDIDATE,10.69660000000,0.00200000000,-0.00210000000,0,,,,,1.45000000,0.18000000,-0.36000000,0,,,,,,,,,0.05570000,0.00560000,-0.00590000,0,3.2400000,0.3360000,-0.4320000,0,0.02260000,0.00220000,-0.00550000,0,,,,,0.588000,0.041000,-0.015000,0,,,,,,,,,,,,,,,,
11,EPIC 201160662.01,EPIC 201160662,,1,CANDIDATE,1.53741150000,0.00000620000,-0.00000610000,0,,,,,45.00000000,12.00000000,-17.00000000,0,,,,,,,,,1.45640000,0.00690000,-0.00690000,0,2.3808000,0.0480000,-0.0456000,0,0.25900000,0.07100000,-0.09900000,0,,,,,1.599000,0.047000,-0.044000,0,,,,,,,,,,,,,,,,
12,EPIC 201164625.01,EPIC 201164625,,1,CANDIDATE,2.71189000000,0.00068000000,-0.00056000000,0,,,,,4.34000000,0.43000000,-0.35000000,0,,,,,2336.00,59.00,-60.00,0,0.02000000,,,0,3.1008000,,,0,0.01210000,0.00100000,-0.00080000,0,6402.00,133.53,-125.16,0,3.167450,0.174094,-0.203167,0,1.280000,0.272756,-0.136366,0,1.18138,0.03715,-0.04567,0,3.543860,0.107945,-0.081808,0,0.056787,0.017177,-0.013543,0
